executor_name,query_action,time,length
SQL,get_attributes,0.1270003318786621,
SQL,cardinality,0.0030269622802734375,
SQL,cardinality,0.0010008811950683594,
SQL,cardinality,0.002000570297241211,
SQL,cardinality,0.0009703636169433594,
SQL,cardinality,0.0009708404541015625,
SQL,cardinality,0.0009925365447998047,
SQL,cardinality,0.0009703636169433594,
SQL,cardinality,0.0009930133819580078,
SQL,cardinality,0.0009717941284179688,
SQL,cardinality,0.001979827880859375,
SQL,data_type,0.00400996208190918,
SQL,data_type,0.003999948501586914,
SQL,data_type,0.0030274391174316406,
SQL,data_type,0.0029714107513427734,
SQL,data_type,0.0029811859130859375,
SQL,data_type,0.002959728240966797,
SQL,data_type,0.0029723644256591797,
SQL,data_type,0.004034280776977539,
SQL,data_type,0.00397181510925293,
SQL,data_type,0.003999471664428711,
SQL,data_length,0.0019752979278564453,
SQL,unique_values,0.0020301342010498047,392
SQL,unique_values,0.002000093460083008,392
SQL,unique_values,0.0010285377502441406,392
SQL,unique_values,0.0010013580322265625,392
SQL,unique_values,0.0010008811950683594,392
SQL,unique_values,0.0009999275207519531,392
SQL,unique_values,0.002001523971557617,392
SQL,unique_values,0.000972747802734375,392
SQL,unique_values,0.0,392
SQL,unique_values,0.0009734630584716797,392
SQL,min_max,0.002001523971557617,392
SQL,min_max,0.0010287761688232422,392
SQL,min_max,0.0020003318786621094,392
SQL,min_max,0.0010242462158203125,392
SQL,min_max,0.0009746551513671875,392
SQL,get_attributes,0.12503695487976074,
SQL,cardinality,0.003004312515258789,
SQL,cardinality,0.0020246505737304688,
SQL,cardinality,0.0009620189666748047,
SQL,cardinality,0.0009629726409912109,
SQL,cardinality,0.0009784698486328125,
SQL,cardinality,0.0010242462158203125,
SQL,cardinality,0.001999378204345703,
SQL,cardinality,0.0009989738464355469,
SQL,cardinality,0.00099945068359375,
SQL,cardinality,0.0009603500366210938,
SQL,data_type,0.00396275520324707,
SQL,data_type,0.003999948501586914,
SQL,data_type,0.005000114440917969,
SQL,data_type,0.003999948501586914,
SQL,data_type,0.003986835479736328,
SQL,data_type,0.0029916763305664062,
SQL,data_type,0.003999471664428711,
SQL,data_type,0.003998756408691406,
SQL,data_type,0.003001689910888672,
SQL,data_type,0.003000497817993164,
SQL,data_length,0.0,
SQL,unique_values,0.0020215511322021484,392
SQL,unique_values,0.0009577274322509766,392
SQL,unique_values,0.00095367431640625,392
SQL,unique_values,0.0009572505950927734,392
SQL,unique_values,0.0009725093841552734,392
SQL,unique_values,0.0020093917846679688,392
SQL,unique_values,0.00099945068359375,392
SQL,unique_values,0.0010178089141845703,392
SQL,unique_values,0.001001119613647461,392
SQL,unique_values,0.0009999275207519531,392
SQL,min_max,0.002000093460083008,392
SQL,min_max,0.0010008811950683594,392
SQL,min_max,0.002001047134399414,392
SQL,min_max,0.0009710788726806641,392
SQL,min_max,0.001001596450805664,392
SQL,get_attributes,0.12799739837646484,
SQL,cardinality,0.002997875213623047,
SQL,cardinality,0.000997304916381836,
SQL,cardinality,0.0010006427764892578,
SQL,cardinality,0.0020258426666259766,
SQL,cardinality,0.0009722709655761719,
SQL,cardinality,0.0009968280792236328,
SQL,cardinality,0.0009734630584716797,
SQL,cardinality,0.0010001659393310547,
SQL,cardinality,0.0009968280792236328,
SQL,cardinality,0.0010175704956054688,
SQL,data_type,0.004024982452392578,
SQL,data_type,0.003997087478637695,
SQL,data_type,0.003984928131103516,
SQL,data_type,0.0030002593994140625,
SQL,data_type,0.0029973983764648438,
SQL,data_type,0.0029993057250976562,
SQL,data_type,0.002969980239868164,
SQL,data_type,0.003999471664428711,
SQL,data_type,0.004000425338745117,
SQL,data_type,0.003970146179199219,
SQL,data_length,0.0010001659393310547,
SQL,unique_values,0.0009877681732177734,392
SQL,unique_values,0.0010008811950683594,392
SQL,unique_values,0.0009996891021728516,392
SQL,unique_values,0.0010004043579101562,392
SQL,unique_values,0.0010008811950683594,392
SQL,unique_values,0.0010006427764892578,392
SQL,unique_values,0.0019752979278564453,392
SQL,unique_values,0.0009989738464355469,392
SQL,unique_values,0.0010018348693847656,392
SQL,unique_values,0.0010004043579101562,392
SQL,min_max,0.0009992122650146484,392
SQL,min_max,0.0010018348693847656,392
SQL,min_max,0.0009729862213134766,392
SQL,min_max,0.000997304916381836,392
SQL,min_max,0.0009770393371582031,392
SQL,get_attributes,0.12499618530273438,
SQL,cardinality,0.0030117034912109375,
SQL,cardinality,0.0010020732879638672,
SQL,cardinality,0.0010030269622802734,
SQL,cardinality,0.0010008811950683594,
SQL,cardinality,0.0010004043579101562,
SQL,cardinality,0.001001596450805664,
SQL,cardinality,0.001001596450805664,
SQL,cardinality,0.001001119613647461,
SQL,cardinality,0.0010001659393310547,
SQL,cardinality,0.002002239227294922,
SQL,data_type,0.0029993057250976562,
SQL,data_type,0.0029993057250976562,
SQL,data_type,0.0029997825622558594,
SQL,data_type,0.004001140594482422,
SQL,data_type,0.003999948501586914,
SQL,data_type,0.0029981136322021484,
SQL,data_type,0.0030188560485839844,
SQL,data_type,0.003998517990112305,
SQL,data_type,0.006000518798828125,
SQL,data_type,0.0030007362365722656,
SQL,data_length,0.001001119613647461,
SQL,unique_values,0.001999378204345703,392
SQL,unique_values,0.0020003318786621094,392
SQL,unique_values,0.0009999275207519531,392
SQL,unique_values,0.0009999275207519531,392
SQL,unique_values,0.0019986629486083984,392
SQL,unique_values,0.002001523971557617,392
SQL,unique_values,0.0009989738464355469,392
SQL,unique_values,0.0010004043579101562,392
SQL,unique_values,0.0010104179382324219,392
