Date,State,Value
2020-03-22,Alaska,0.878737466594673
2020-03-25,Alaska,0.878737466594673
2020-03-10,North Carolina,0.1
2020-03-14,North Carolina,0.4
2020-03-17,North Carolina,0.6
2020-03-23,North Carolina,0.8
2020-03-25,North Carolina,0.8099881351064695
2020-03-26,North Carolina,0.8383260851076326
2020-03-27,North Carolina,0.8779918429333708
2020-03-28,North Carolina,0.8815090916510584
2020-03-30,North Carolina,1.0
2020-03-13,Texas,0.10000000000000002
2020-03-19,Texas,0.4000000000000001
2020-03-23,Texas,0.7786324271368061
2020-03-24,Texas,0.7786324271368061
2020-03-30,Texas,1.0
2020-03-13,North Dakota,0.1
2020-03-19,North Dakota,0.8
2020-04-08,North Dakota,0.8
2020-03-05,Maryland,0.1
2020-03-12,Maryland,0.3
2020-03-15,Maryland,0.8
2020-03-16,Maryland,0.8
2020-03-23,Maryland,0.8
2020-03-30,Maryland,1.0
2020-03-12,Kansas,0.1
2020-03-15,Kansas,0.4
2020-03-16,Kansas,0.4
2020-03-17,Kansas,0.4527598466900581
2020-03-22,Kansas,0.5863783306571141
2020-03-24,Kansas,0.6115576968359744
2020-03-25,Kansas,0.7293559156342226
2020-03-26,Kansas,0.7758697483347142
2020-03-27,Kansas,0.7805728459067577
2020-03-28,Kansas,0.7883248424303045
2020-03-30,Kansas,1.0
2020-03-15,Maine,0.1
2020-03-23,Maine,0.2975154960675846
2020-03-25,Maine,0.3419841513094661
2020-03-26,Maine,0.3591283220206337
2020-03-31,Maine,1.0
2020-03-01,Florida,0.1
2020-03-17,Florida,0.8
2020-03-24,Florida,0.8033593948934192
2020-03-25,Florida,0.8066689241981126
2020-03-26,Florida,0.8213083715477101
2020-03-27,Florida,0.8544427096765363
2020-03-28,Florida,0.8637971402666864
2020-03-30,Florida,0.9043721412549192
2020-03-31,Florida,0.9056052320595976
2020-04-01,Florida,1.0000000000000002
2020-03-12,Nevada,0.1
2020-03-15,Nevada,0.4
2020-03-17,Nevada,0.8
2020-03-24,Nevada,0.8
2020-03-10,Connecticut,0.1
2020-03-13,Connecticut,0.4
2020-03-09,Rhode Island,0.1
2020-03-16,Rhode Island,0.4
2020-03-17,Rhode Island,0.6
2020-03-26,Rhode Island,0.6
2020-03-28,Rhode Island,1.0
