Sex,Age,Height,Weight,Year,Season,HostCity,Sport,MedalType,AthleteCountry,HostRegion,AthleteRegion,SportType
M,25,187,98,1960,Summer,Roma,Rowing,Silver,Russia,Europe,Europe,Boat
F,16,172,66,1976,Summer,Montreal,Swimming,Silver,Germany,North America,Europe,Water
M,26,178,78,1984,Summer,Los Angeles,Cycling,Gold,Australia,North America,Oceania,Others
F,25,168,60,1984,Summer,Los Angeles,Handball,Gold,Serbia,North America,Europe,Ball
M,40,173,70,1980,Summer,Moskva,Equestrianism,Gold,Russia,Europe,Europe,Others
M,30,184,82,1976,Summer,Montreal,Sailing,Gold,Denmark,North America,Europe,Boat
M,22,162,52,1988,Summer,Seoul,Wrestling,Bronze,Russia,Asia,Europe,Combat
F,22,170,70,1992,Summer,Barcelona,Hockey,Silver,Germany,Europe,Europe,Ball
M,35,180,86,1976,Winter,Innsbruck,Others,Bronze,Germany,Europe,Europe,Ice
M,26,188,79,1980,Summer,Moskva,Track&Field,Silver,Cuba,Europe,North America,Race
M,17,194,80,1980,Summer,Moskva,Swimming,Gold,Germany,Europe,Europe,Water
M,22,182,90,1984,Summer,Los Angeles,Rowing,Gold,Italy,North America,Europe,Boat
F,24,169,70,1956,Summer,Melbourne,Track&Field,Gold,Russia,Oceania,Europe,Race
M,26,198,106,2012,Summer,London,Rowing,Silver,Canada,Europe,North America,Boat
M,23,183,90,1988,Summer,Seoul,Canoeing,Bronze,Hungary,Asia,Europe,Boat
M,18,187,88,2008,Summer,Beijing,Football,Bronze,Brazil,Asia,South America,Ball
F,25,175,98,1964,Summer,Tokyo,Track&Field,Silver,Germany,Asia,Europe,Race
M,22,161,55,2016,Summer,Rio de Janeiro,Gymnastics,Gold,Ukraine,South America,Europe,Acrobatic
M,25,181,78,1968,Summer,Mexico City,Canoeing,Silver,Romania,North America,Europe,Boat
M,23,176,75,1928,Summer,others,Football,Silver,Argentina,Europe,South America,Ball
M,24,177,54,1988,Winter,Calgary,Skiing,Gold,Finland,North America,Europe,Snow
M,24,185,80,1980,Summer,Moskva,Canoeing,Bronze,Bulgaria,Europe,Europe,Boat
M,23,191,86,1992,Summer,Barcelona,Canoeing,Gold,Germany,Europe,Europe,Boat
F,21,170,74,2016,Summer,Rio de Janeiro,Track&Field,Gold,Croatia,South America,Europe,Race
F,20,173,66,1976,Summer,Montreal,Volleyball,Bronze,South Korea,North America,Asia,Ball
M,29,186,90,2012,Summer,London,Others,Gold,Croatia,Europe,Europe,Target
F,13,150,40,1992,Summer,Barcelona,Gymnastics,Silver,Romania,Europe,Europe,Acrobatic
M,28,178,71,1960,Summer,Roma,Water Polo,Bronze,Hungary,Europe,Europe,Water
M,25,175,65,1960,Summer,Roma,Cycling,Silver,Germany,Europe,Europe,Others
M,27,204,94,2004,Summer,Athina,Swimming,Silver,Netherlands,Europe,Europe,Water
F,27,171,62,1992,Summer,Barcelona,Canoeing,Silver,Australia,Europe,Oceania,Boat
M,29,199,105,2012,Summer,London,Rowing,Silver,Czech Republic,Europe,Europe,Boat
M,38,180,79,2002,Winter,Salt Lake City,Others,Silver,Canada,North America,North America,Ice
M,25,171,72,1984,Winter,others,Skating,Gold,Canada,Europe,North America,Ice
M,24,190,83,2016,Summer,Rio de Janeiro,Swimming,Silver,Others,South America,Africa,Water
F,20,173,64,1996,Summer,Atlanta,Swimming,Bronze,Netherlands,North America,Europe,Water
M,30,204,107,2008,Summer,Beijing,Basketball,Silver,Spain,Asia,Europe,Ball
M,39,187,95,2006,Winter,Torino,Others,Silver,Finland,Europe,Europe,Ice
M,42,197,94,2004,Summer,Athina,Handball,Bronze,Russia,Europe,Europe,Ball
F,25,174,73,1976,Summer,Montreal,Volleyball,Silver,Russia,North America,Europe,Ball
M,20,174,75,1996,Summer,Atlanta,Gymnastics,Gold,Russia,North America,Europe,Acrobatic
F,33,168,80,1964,Summer,Tokyo,Track&Field,Bronze,Russia,Asia,Europe,Race
M,23,180,78,1976,Winter,Innsbruck,Skiing,Bronze,Others,Europe,Europe,Snow
M,23,179,76,1964,Summer,Tokyo,Swimming,Bronze,Australia,Asia,Oceania,Water
M,20,180,68,1980,Winter,others,Skiing,Bronze,Finland,North America,Europe,Snow
M,37,178,75,2016,Summer,Rio de Janeiro,Track&Field,Bronze,Others,South America,North America,Race
M,28,176,66,1992,Summer,Barcelona,Canoeing,Bronze,France,Europe,Europe,Boat
M,28,180,89,1960,Summer,Roma,Boxing,Silver,Others,Europe,Africa,Combat
M,30,179,72,2010,Winter,Vancouver,Others,Bronze,Germany,North America,Europe,Ice
M,21,193,78,1992,Winter,Albertville,Skiing,Bronze,Austria,Europe,Europe,Snow
M,34,172,78,1960,Summer,Roma,Others,Gold,Austria,Europe,Europe,Target
M,24,180,74,1992,Summer,Barcelona,Cycling,Bronze,Denmark,Europe,Europe,Others
M,21,175,72,1956,Winter,others,Hockey,Bronze,Canada,Europe,North America,Ice
M,21,193,73,2016,Summer,Rio de Janeiro,Equestrianism,Gold,Germany,South America,Europe,Others
F,23,169,62,2016,Summer,Rio de Janeiro,Cycling,Bronze,Canada,South America,North America,Others
M,28,183,76,2010,Winter,Vancouver,Skating,Bronze,Russia,North America,Europe,Ice
M,26,165,56,2008,Summer,Beijing,Track&Field,Gold,Others,Asia,Africa,Race
F,19,175,63,1988,Summer,Seoul,Others,Silver,Czech Republic,Asia,Europe,Ball
F,24,171,66,2000,Summer,Sydney,Handball,Silver,Hungary,Oceania,Europe,Ball
F,35,175,70,2004,Summer,Athina,Canoeing,Bronze,Canada,Europe,North America,Boat
M,25,191,84,1968,Summer,Mexico City,Rowing,Silver,Germany,North America,Europe,Boat
F,24,161,66,2000,Summer,Sydney,Others,Silver,Japan,Oceania,Asia,Ball
M,21,184,93,2000,Summer,Sydney,Canoeing,Silver,Russia,Oceania,Europe,Boat
F,20,156,42,2000,Summer,Sydney,Gymnastics,Gold,Romania,Oceania,Europe,Acrobatic
M,28,184,66,1964,Summer,Tokyo,Equestrianism,Gold,Germany,Asia,Europe,Others
M,19,176,62,1964,Summer,Tokyo,Football,Gold,Hungary,Asia,Europe,Ball
M,26,156,61,2016,Summer,Rio de Janeiro,Gymnastics,Silver,Brazil,South America,South America,Acrobatic
M,23,176,64,1988,Summer,Seoul,Track&Field,Bronze,Germany,Asia,Europe,Race
M,23,200,100,1996,Summer,Atlanta,Rowing,Bronze,Australia,North America,Oceania,Boat
M,25,179,81,1932,Summer,Los Angeles,Track&Field,Bronze,Finland,North America,Europe,Race
F,20,167,65,1980,Summer,Moskva,Canoeing,Silver,Bulgaria,Europe,Europe,Boat
M,31,187,91,2010,Winter,Vancouver,Hockey,Bronze,Finland,North America,Europe,Ice
M,25,175,70,1984,Winter,others,Skiing,Bronze,Others,Europe,Europe,Snow
F,35,166,58,2014,Winter,Sochi,Skiing,Silver,Finland,Europe,Europe,Snow
M,27,185,97,2006,Winter,Torino,Hockey,Bronze,Czech Republic,Europe,Europe,Ice
M,22,172,63,2008,Summer,Beijing,Others,Bronze,China,Asia,Asia,Target
F,28,160,57,2012,Summer,London,Hockey,Silver,Argentina,Europe,South America,Ball
F,25,174,64,1992,Summer,Barcelona,Cycling,Gold,Germany,Europe,Europe,Others
M,30,196,93,1972,Summer,Munich,Rowing,Bronze,Germany,Europe,Europe,Boat
M,28,183,75,2014,Winter,Sochi,Skiing,Gold,Sweden,Europe,Europe,Snow
M,23,174,67,1976,Summer,Montreal,Hockey,Bronze,Others,North America,Asia,Ball
F,23,170,66,1980,Summer,Moskva,Handball,Bronze,Germany,Europe,Europe,Ball
F,28,186,72,2016,Summer,Rio de Janeiro,Volleyball,Silver,Serbia,South America,Europe,Ball
M,33,179,76,2000,Summer,Sydney,Football,Bronze,Others,Oceania,South America,Ball
F,24,180,77,1980,Summer,Moskva,Rowing,Silver,Russia,Europe,Europe,Boat
M,19,155,50,1988,Summer,Seoul,Rowing,Silver,Germany,Asia,Europe,Boat
M,22,175,62,1998,Winter,Nagano,Skiing,Silver,Japan,Asia,Asia,Snow
M,30,197,94,1992,Summer,Barcelona,Handball,Gold,Russia,Europe,Europe,Ball
F,29,161,52,1964,Summer,Tokyo,Gymnastics,Bronze,Russia,Asia,Europe,Acrobatic
M,24,183,88,1980,Summer,Moskva,Canoeing,Gold,Germany,Europe,Europe,Boat
M,21,216,111,1968,Summer,Mexico City,Basketball,Bronze,Russia,North America,Europe,Ball
M,24,193,94,2000,Summer,Sydney,Rowing,Silver,Norway,Oceania,Europe,Boat
M,27,173,73,1968,Summer,Mexico City,Hockey,Silver,Australia,North America,Oceania,Ball
F,28,188,70,1984,Summer,Los Angeles,Track&Field,Gold,Germany,North America,Europe,Race
F,28,180,65,2008,Summer,Beijing,Football,Bronze,Germany,Asia,Europe,Ball
M,27,184,85,2006,Winter,Torino,Others,Silver,Switzerland,Europe,Europe,Snow
M,50,183,83,1984,Summer,Los Angeles,Others,Silver,Sweden,North America,Europe,Target
F,24,170,57,1988,Summer,Seoul,Fencing,Silver,Italy,Asia,Europe,Combat
M,30,189,94,1996,Summer,Atlanta,Volleyball,Silver,Italy,North America,Europe,Ball
M,33,176,71,1952,Summer,others,Equestrianism,Silver,Switzerland,Europe,Europe,Others
F,30,172,68,2008,Summer,Beijing,Water Polo,Gold,Netherlands,Asia,Europe,Water
M,18,173,65,2002,Winter,Salt Lake City,Skating,Bronze,China,North America,Asia,Ice
M,19,189,91,1992,Summer,Barcelona,Canoeing,Gold,Australia,Europe,Oceania,Boat
M,23,184,88,1956,Summer,Melbourne,Track&Field,Bronze,Russia,Oceania,Europe,Race
M,37,180,94,2004,Summer,Athina,Water Polo,Bronze,Russia,Europe,Europe,Water
F,17,161,48,2012,Summer,London,Gymnastics,Bronze,Russia,Europe,Europe,Acrobatic
F,27,168,65,2014,Winter,Sochi,Skating,Silver,Netherlands,Europe,Europe,Ice
F,23,202,80,2004,Summer,Athina,Volleyball,Silver,Russia,Europe,Europe,Ball
M,33,191,105,1998,Winter,Nagano,Others,Gold,Germany,Asia,Europe,Ice
M,36,189,93,2016,Summer,Rio de Janeiro,Handball,Silver,France,South America,Europe,Ball
M,33,182,79,2006,Winter,Torino,Skiing,Bronze,Sweden,Europe,Europe,Snow
F,30,166,66,2012,Summer,London,Football,Bronze,Canada,Europe,North America,Ball
M,27,186,75,1976,Summer,Montreal,Cycling,Gold,Germany,North America,Europe,Others
F,27,163,57,2004,Summer,Athina,Hockey,Bronze,Argentina,Europe,South America,Ball
M,23,196,95,1976,Summer,Montreal,Rowing,Bronze,New Zealand,North America,Oceania,Boat
M,22,190,87,1968,Summer,Mexico City,Cycling,Gold,Denmark,North America,Europe,Others
M,27,159,58,2016,Summer,Rio de Janeiro,Gymnastics,Gold,Japan,South America,Asia,Acrobatic
M,26,183,92,1980,Summer,Moskva,Wrestling,Bronze,Romania,Europe,Europe,Combat
F,23,160,60,2014,Winter,Sochi,Hockey,Bronze,Switzerland,Europe,Europe,Ice
F,22,175,61,2012,Summer,London,Others,Silver,China,Europe,Asia,Acrobatic
F,36,173,64,2012,Summer,London,Canoeing,Gold,Hungary,Europe,Europe,Boat
M,27,170,77,1994,Winter,Lillehammer,Hockey,Gold,Sweden,Europe,Europe,Ice
M,21,178,91,1980,Winter,others,Hockey,Silver,Russia,North America,Europe,Ice
F,20,176,77,2004,Summer,Athina,Fencing,Silver,China,Europe,Asia,Combat
M,24,177,72,1972,Summer,Munich,Football,Silver,Hungary,Europe,Europe,Ball
M,29,198,87,2016,Summer,Rio de Janeiro,Volleyball,Gold,Brazil,South America,South America,Ball
M,24,163,54,1964,Summer,Tokyo,Track&Field,Bronze,Japan,Asia,Asia,Race
M,33,190,88,2000,Summer,Sydney,Fencing,Bronze,Cuba,Oceania,North America,Combat
F,24,162,47,1976,Summer,Montreal,Track&Field,Gold,Russia,North America,Europe,Race
M,25,183,83,1988,Winter,Calgary,Skiing,Gold,Switzerland,North America,Europe,Snow
M,21,199,95,2016,Summer,Rio de Janeiro,Canoeing,Silver,Others,South America,Europe,Boat
M,27,183,70,2012,Summer,London,Football,Bronze,South Korea,Europe,Asia,Ball
M,29,188,74,1976,Summer,Montreal,Hockey,Gold,New Zealand,North America,Oceania,Ball
M,26,169,68,1968,Summer,Mexico City,Fencing,Bronze,Hungary,North America,Europe,Combat
M,29,195,87,2000,Summer,Sydney,Equestrianism,Silver,Netherlands,Oceania,Europe,Others
M,18,181,66,1980,Summer,Moskva,Swimming,Silver,Russia,Europe,Europe,Water
M,37,181,77,1960,Summer,Roma,Water Polo,Bronze,Hungary,Europe,Europe,Water
